neighborhood,ring,vertex,lat,lon
Marlton,0,67,-75.104262752245,39.944938065804
Marlton,0,68,-75.1042647511124,39.9450830660634
Marlton,0,69,-75.1036577524541,39.9452050660675
Marlton,0,70,-75.1034847511994,39.9452520659628
Marlton,0,71,-75.1033597513222,39.9452860662489
Marlton,0,72,-75.1032337513716,39.9453210659875
Marlton,0,73,-75.1028617504746,39.945432066142
Marlton,0,74,-75.1026217512051,39.945492065392
Marlton,0,75,-75.1024957505251,39.9455230660819
Marlton,0,76,-75.102189751557,39.9456180667232
Marlton,0,77,-75.1019747510304,39.9456850657021
Marlton,0,78,-75.1015857507231,39.9457750662155
Marlton,0,79,-75.1005367514287,39.9460080663734
Marlton,0,80,-75.1004287508386,39.9460290664713
Marlton,0,81,-75.0991857501712,39.946281066883
Marlton,0,82,-75.0988707506428,39.9463640663996
Marlton,0,83,-75.0985687501123,39.9464440661372
Marlton,0,84,-75.0978077500604,39.9466590659221
Marlton,0,85,-75.0972327498628,39.9468790662833
Marlton,0,86,-75.0969897489243,39.9469730666325
Marlton,0,87,-75.09680074908,39.9470590667145
Marlton,0,88,-75.0967267500015,39.9470220663671
Marlton,0,89,-75.0964667491262,39.9469030668135
Marlton,0,90,-75.0960347483233,39.9466980659117
Marlton,0,91,-75.0955197492804,39.9464430662165
Marlton,0,92,-75.0947137491809,39.9460460670458
Marlton,0,93,-75.0942437486168,39.9458150670968
Marlton,0,94,-75.0936107486955,39.9454960665043
Marlton,0,95,-75.0932557477589,39.9455370663315
Marlton,0,96,-75.0928307484358,39.9456180668822
Marlton,0,97,-75.0923717481407,39.9456930661432
Marlton,0,98,-75.0915197474588,39.9457980670879
Marlton,0,99,-75.0905157475106,39.9459250667247
Marlton,0,100,-75.0897297478648,39.946027066634
Marlton,0,101,-75.0888967466813,39.946122066372
Marlton,0,102,-75.0875917464223,39.94626006725
Marlton,0,103,-75.0875207461767,39.9462670662144
Marlton,0,104,-75.0866527463601,39.9463580668144
Marlton,0,105,-75.0861617458254,39.9457230664094
Marlton,0,106,-75.0856427456734,39.9450540665551
Marlton,0,107,-75.085172744983,39.9444490664479
Marlton,0,108,-75.0846717457502,39.9438030663195
Marlton,0,109,-75.0841737453639,39.9431630664716
Marlton,0,110,-75.0836867454782,39.9425260660249
Marlton,0,111,-75.0831947444462,39.9419020660431
Marlton,0,112,-75.0826677442579,39.9412230658331
Marlton,0,113,-75.0822087443512,39.9406310654284
Marlton,0,114,-75.0820547446172,39.9403690660969
Marlton,0,115,-75.0820187444748,39.9402450657743
Marlton,0,116,-75.0820307450292,39.94014006637
Marlton,0,117,-75.0827797448887,39.9404950652124
Marlton,0,118,-75.083083745684,39.9406390655089
Marlton,0,119,-75.0837957448214,39.9401720657211
Marlton,0,120,-75.0844217450738,39.9397110659759
Marlton,0,121,-75.0849687457282,39.9391950650046
Marlton,0,122,-75.0855507449235,39.9386740658649
Marlton,0,123,-75.08619074559,39.9382330644533
Marlton,0,124,-75.0867347453117,39.9377090647227
Marlton,0,125,-75.0880347464413,39.9366810645264
Marlton,0,126,-75.0881637464179,39.9365790648223
Marlton,0,127,-75.0885307461959,39.9362660642566
Marlton,0,128,-75.0888197462614,39.9360200645003
Marlton,0,129,-75.0892967463135,39.9363850647136
Marlton,0,130,-75.0897527470674,39.9361600649682
Marlton,0,131,-75.0898447472395,39.9361110648166
Marlton,0,132,-75.0901077465524,39.9359760645249
Biedeman,0,0,-75.0881817468196,39.9531850685512
Biedeman,0,1,-75.0885817478311,39.9528500678919
Biedeman,0,2,-75.0892097466844,39.9523480678112
Biedeman,0,3,-75.0903447470477,39.9514430679611
Biedeman,0,4,-75.0905347470509,39.9512950676054
Biedeman,0,5,-75.0905487474932,39.9513120674305
Biedeman,0,6,-75.0906397482941,39.9514270675562
Biedeman,0,7,-75.0907197477071,39.9515290678853
Biedeman,0,8,-75.0907767474881,39.9516010674504
Biedeman,0,9,-75.0908247477367,39.9516620674551
Biedeman,0,10,-75.0908347472604,39.9516740670814
Biedeman,0,11,-75.0909747474938,39.9518520676995
Biedeman,0,12,-75.0910197480501,39.9519090675501
Biedeman,0,13,-75.0913257484761,39.9523000676866
Biedeman,0,14,-75.0914347475396,39.9524440682597
Biedeman,0,15,-75.091765747821,39.9528790671786
Biedeman,0,16,-75.0922337484649,39.9534960678041
Biedeman,0,17,-75.0924347482539,39.953760068074
Biedeman,0,18,-75.0926607478919,39.9540570682446
Biedeman,0,19,-75.0931137487832,39.9546530679595
Biedeman,0,20,-75.0935797484026,39.9552660685977
Biedeman,0,21,-75.0937717486143,39.9555190680387
Biedeman,0,22,-75.0940207490294,39.9558470680098
Biedeman,0,23,-75.094627749924,39.9566350689766
Biedeman,0,24,-75.0948737500556,39.9569520685638
Biedeman,0,25,-75.0950807490243,39.9572190686466
Biedeman,0,26,-75.0955287489281,39.9577960684308
Biedeman,0,27,-75.0957577501968,39.9580920687105
Biedeman,0,28,-75.0959897500738,39.9583910686726
Biedeman,0,29,-75.0964527500253,39.9589880688999
Biedeman,0,30,-75.0966307497805,39.9592160696329
Biedeman,0,31,-75.0969047505646,39.9595700685058
Biedeman,0,32,-75.0973177502504,39.9601030687832
Biedeman,0,33,-75.0973247500041,39.9601820689145
Biedeman,0,34,-75.0979067502638,39.9607710694628
Biedeman,0,35,-75.0979157508981,39.9608020695286
Biedeman,0,36,-75.0979167501555,39.960901069249
Biedeman,0,37,-75.098130751231,39.9611810697808
Biedeman,0,38,-75.0982947509869,39.9613430686866
Biedeman,0,39,-75.0984377510317,39.9614680693194
Biedeman,0,40,-75.0985157510316,39.9615940701098
Biedeman,0,41,-75.0985437510723,39.9617020689776
Biedeman,0,42,-75.0986237517165,39.9619630699913
Biedeman,0,43,-75.098461750818,39.9620410700474
Biedeman,0,44,-75.0989247504056,39.9627700693828
Biedeman,0,45,-75.0990207506009,39.962920069816
Biedeman,0,46,-75.0978575212631,39.9637613952303
Biedeman,0,47,-75.0967587506335,39.96455606995
Biedeman,0,48,-75.0945027497953,39.9661890703596
Biedeman,0,49,-75.0943207491401,39.9663200701877
Biedeman,0,50,-75.0924917496869,39.967292070621
Biedeman,0,51,-75.091684302725,39.9677214815559
Biedeman,0,52,-75.0907467487361,39.9682200712404
Biedeman,0,53,-75.0887677477525,39.9691750710746
Biedeman,0,54,-75.0881387480929,39.9694780706416
Biedeman,0,55,-75.0881227474284,39.9694860717363
Biedeman,0,56,-75.0880987476616,39.9694530718188
Biedeman,0,57,-75.0870217475993,39.9680990709097
Biedeman,0,58,-75.0848547474753,39.9653750708521
Biedeman,0,59,-75.0844777467772,39.9648670711152
Biedeman,0,60,-75.0844787470244,39.9646870705181
Biedeman,0,61,-75.0837417459991,39.9636730703022
Biedeman,0,62,-75.0826447460578,39.9620230704619
Biedeman,0,63,-75.0822107456968,39.9614580707394
Biedeman,0,64,-75.0817387453129,39.9608290701647
Biedeman,0,65,-75.0811707454253,39.9600660695713
Biedeman,0,66,-75.0810477452324,39.9599010693339
Biedeman,0,67,-75.0810197444099,39.9598630691902
